Tag,Source Packages,Item,Category,Item Strain,Quantity,Batch Number,Lab Testing,<abbr title='Administrative Hold'>A.H.</abbr>,<abbr title='Packaged Date'>Date</abbr>,<abbr title='Received'>Rcv'd</abbr>
1A4060300009859000000865,1A4060300009859000000831,TL Machine Trim Biodynamic Blue Dream,Leaf,Blue Dream,10580,,NotSubmitted,FALSE,12/2/2020,12/2/2020
1A4060300004719000000618,1A4060300003E84000001288,MG Live Sugar 1g Thin Mint Cookie Dawg,Extract (weight - each),,588,201201TMCDSU,NotSubmitted,FALSE,12/1/2020,
1A4060300004719000000619,1A4060300003E84000001289,MG Live Sauce 1g Thin Mint Cookie Dawg,Extract (weight - each),,606,201201TMCDSA,NotSubmitted,FALSE,12/1/2020,
1A4060300004719000000620,1A4060300003E84000001295,MG Live Sauce 1g Watermelon Cookies,Extract (weight - each),,889,201201WCSA,NotSubmitted,FALSE,12/1/2020,
1A4060300004719000000617,"1A4060300004719000000611, 1A4060300004719000000616",Bulk Oil CO2 2nd Pass,Extract (weight),,2295.5,201130-SCLR-RCLM,NotSubmitted,FALSE,11/30/2020,
1A4060300004719000000616,1A4060300004719000000614,Bulk Oil CO2 2nd Pass,Extract (weight),,38.7,190829-SCLR-RCLM,NotSubmitted,FALSE,11/25/2020,
1A406030000584D000005231,1A4060300004719000000609,MG Pre-roll 1g Sour OG,Pre-Roll Leaf,Sour OG,3000,,NotSubmitted,FALSE,11/24/2020,11/27/2020
1A4060300004719000000613,"1A4060300004719000000035, 1A4060300004719000000604",Bulk Oil CO2 Reclaim,Extract (weight),,3535,201006-RCLM,NotSubmitted,FALSE,11/18/2020,
1A4060300004719000000611,1A4060300004719000000610,Bulk Oil CO2 2nd Pass,Extract (weight),,49.5,200317-SCLR-RCLM,NotSubmitted,FALSE,11/17/2020,
1A4060300004719000000602,1A4060300004719000000601,Bulk Oil CO2 2nd Pass,Extract (weight),,1475.4,191217-SCLR,NotSubmitted,FALSE,11/3/2020,
1A4060300004719000000603,"1A4060300004719000000597, 1A4060300004719000000599",Bulk Oil CO2 2nd Pass,Extract (weight),,3294,201016-BLK-SCLR,NotSubmitted,FALSE,11/3/2020,
1A4060300003E84000001268,1A4060300003E84000001196,Cookie Dog X Thin Mint Live Resin Bulk Extract,Extract (weight),,354.35,SPK000250,NotSubmitted,FALSE,10/26/2020,11/30/2020
1A4060300003E84000001269,"1A4060300003E84000001197, 1A4060300003E84000001198",Sour Pinot X Cookie Dog Live Resin Bulk Extract,Extract (weight),,360,,NotSubmitted,FALSE,10/26/2020,11/30/2020
1A4060300004719000000591,1A4060300004719000000589,Bulk Oil CO2 Raw,Extract (weight),,1731.6,201006-RAW,NotSubmitted,FALSE,10/6/2020,
1A4060300004719000000586,1A4060300004719000000542,Bulk Cart Oil GG4,Extract (weight),,80.1,200930-GG4,NotSubmitted,FALSE,9/30/2020,
1A4060300004719000000584,1A406030000200A000003430,Bulk Bubble Hash GG10,Extract (weight),,14.4,200923-GG10-HASH,NotSubmitted,FALSE,9/29/2020,
1A4060300004719000000585,"1A406030000200A000003427, 1A4060300004719000000561",Kief GG10,Kief,GG10,711.6,200804-GG10,NotSubmitted,FALSE,9/29/2020,
1A4060300004719000000580,1A4060300004719000000565,Bulk Rosin GG10,Extract (weight),,0.37,200921-GG10-ROS,NotSubmitted,FALSE,9/23/2020,
1A4060300004719000000576,"1A4060300004719000000212, 1A4060300004719000000429",Bulk Oil CO2 1st Pass,Extract (weight),,2840.1,200922-BLK-FCLR,NotSubmitted,FALSE,9/22/2020,
1A4060300004719000000577,"1A4060300004719000000557, 1A4060300004719000000575",Bulk Oil CO2 2nd Pass,Extract (weight),,2596.3,200922-SCLR-BLK,NotSubmitted,FALSE,9/22/2020,
1A4060300004719000000578,"1A4060300004719000000574, 1A4060300004719000000576",Bulk Oil Ethanol Solution,Extract (weight),,9405.14,200922-EtSOL,NotSubmitted,FALSE,9/22/2020,
1A4060300004719000000570,1A406030000200A000003427,Bulk Bubble Hash GG10,Extract (weight),,12.71,200918-GG10-HASH,NotSubmitted,FALSE,9/18/2020,
1A4060300003E84000001199,1A4060300016379000000004,Wautomelon OG X Frosted Zin Live Resin Bulk Extract,Extract (weight),,393.2,SPK000004,NotSubmitted,FALSE,9/17/2020,11/30/2020
1A4060300004719000000564,"1A4060300004719000000549, 1A4060300004719000001005",Bulk Oil CO2 Reclaim,Extract (weight),,3670,190829-RCLM,NotSubmitted,FALSE,9/15/2020,
1A4060300004719000000565,1A406030000200A000003427,Bulk Bubble Hash GG10,Extract (weight),,8.32,200915-GG10-HASH,NotSubmitted,FALSE,9/15/2020,
1A406030000584D000004448,1A4060300004719000000545,Bulk Pre-roll 1g Blue Dream,Pre-Roll Leaf,Blue Dream,2994,200910BD,NotSubmitted,FALSE,9/11/2020,9/14/2020
1A4060300004719000000550,"1A4060300004719000000542, 1A4060300004719000001003",Bulk Oil CO2 2nd Pass,Extract (weight),,123.6,200904-FIREOG,NotSubmitted,FALSE,9/8/2020,
